classifier,regressor,probability_quantile,return_quantile,probability_threshold,return_threshold,precision,recall,f1,balanced_accuracy,roc_auc,total_return,sharpe_ratio,win_rate,maximum_drawdown,number_of_trades,excess_return,excess_sharpe,classification_pass,economic_pass,objective_score
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.6000000000000001,0.3584787872911696,-0.0003444737265971562,0.4672897196261682,0.36231884057971014,0.40816326530612246,0.49963075786947286,0.46086033416412814,-0.15850425634549126,-0.6381961000538202,0.4672897196261682,-0.3259848019730869,107,-0.25475192613588526,-2.4850910410529905,False,False,-0.9890648340410927
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.65,0.3584787872911696,-9.406458653044818e-05,0.4631578947368421,0.3188405797101449,0.3776824034334764,0.49699990768946734,0.46086033416412814,-0.1647053211031373,-0.7066143654551273,0.4631578947368421,-0.3309516861458467,95,-0.2609529908935313,-2.5535093064542975,False,False,-1.0616351734281506
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.7000000000000001,0.3584787872911696,7.027969620944319e-05,0.4634146341463415,0.2753623188405797,0.34545454545454546,0.497553770885258,0.46086033416412814,-0.12563980246707418,-0.5168078115240521,0.4634146341463415,-0.29966126848412566,82,-0.2218874722574682,-2.3637027525232224,False,False,-0.77643073911221
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.75,0.3584787872911696,0.00034239684050220475,0.47058823529411764,0.2318840579710145,0.3106796116504854,0.5012923474568448,0.46086033416412814,-0.10206733222806352,-0.40479389102672025,0.47058823529411764,-0.2773305255524353,68,-0.19831500201845753,-2.2516888320258905,False,False,-0.6100956328115583
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.8,0.3584787872911696,0.0006157744171689808,0.4727272727272727,0.18840579710144928,0.2694300518134715,0.5018462106526355,0.46086033416412814,-0.04825760179920835,-0.14931259702545163,0.4727272727272727,-0.23287306427155707,55,-0.14450527158960236,-1.9962075380246218,False,False,-0.21550717821118978
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.0,0.38233804250472714,-0.006771974110182478,0.453125,0.6304347826086957,0.5272727272727272,0.48082248684574913,0.46086033416412814,-0.3158162308814564,-1.2320236832255893,0.453125,-0.424387174290489,192,-0.4120639006718504,-3.0789186242247597,False,False,-2.0944592925923864
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.05,0.38233804250472714,-0.004807381007318475,0.4603174603174603,0.6304347826086957,0.5321100917431193,0.49037662697313766,0.46086033416412814,-0.2874996166980591,-1.0949676357414473,0.4603174603174603,-0.4025148783384056,189,-0.38374728648845313,-2.9418625767406175,False,False,-1.872486112252379
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.1,0.38233804250472714,-0.0036120599840543453,0.46994535519125685,0.6231884057971014,0.5358255451713395,0.5026770054463214,0.46086033416412814,-0.24060073825419248,-0.880722086840391,0.46994535519125685,-0.3615151866604558,183,-0.3368484080445865,-2.7276170278395613,False,False,-1.5104019449314428
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.15000000000000002,0.38233804250472714,-0.0030473106647234,0.46368715083798884,0.6014492753623188,0.5236593059936908,0.4949921536047263,0.46086033416412814,-0.24856883843222188,-0.9287278354100565,0.46368715083798884,-0.3733680554394634,179,-0.3448165082226159,-2.775622776409227,False,False,-1.582944760322443
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.2,0.38233804250472714,-0.002630929774753457,0.45664739884393063,0.572463768115942,0.5080385852090032,0.48686882673313026,0.46086033416412814,-0.2575521261959637,-0.9826520043500063,0.45664739884393063,-0.3656686529759561,173,-0.3537997959863577,-2.8295469453491764,False,False,-1.6636090142257287
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.25,0.38233804250472714,-0.002214238866954062,0.46107784431137727,0.5579710144927537,0.5049180327868853,0.4923613034247208,0.46086033416412814,-0.22878900942584368,-0.8459037167620846,0.46107784431137727,-0.3410940703700185,167,-0.3250366792162377,-2.692798657761255,False,False,-1.4437922212003376
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.30000000000000004,0.38233804250472714,-0.0018979139170645326,0.4585987261146497,0.5217391304347826,0.488135593220339,0.49016892827471614,0.46086033416412814,-0.214739192970695,-0.8118638360053835,0.4585987261146497,-0.3661123670645149,157,-0.310986862761089,-2.6587587770045538,False,False,-1.3573388375933775
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.35000000000000003,0.38233804250472714,-0.0016521200777500264,0.44966442953020136,0.4855072463768116,0.46689895470383275,0.4816071263731192,0.46086033416412814,-0.23214516131863994,-0.9051989053568452,0.44966442953020136,-0.3688609721504925,149,-0.32839283110903394,-2.7520938463560154,False,False,-1.5058999849739352
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.4,0.38233804250472714,-0.0014593281201654275,0.4647887323943662,0.4782608695652174,0.4714285714285714,0.49709221822209915,0.46086033416412814,-0.18052492926311692,-0.6643150956049915,0.4647887323943662,-0.34179944608212554,142,-0.2767725990535109,-2.5112100366041616,False,False,-1.1068069103838012
HistGradientBoostingClassifier,RandomForestRegressor,0.3500000000000001,0.45,0.38233804250472714,-0.0012548995735889726,0.46616541353383456,0.4492753623188406,0.4575645756457565,0.4985230314778916,0.46086033416412814,-0.17355896985286956,-0.6440045659154927,0.46616541353383456,-0.36210439924845506,133,-0.26980663964326357,-2.490899506914663,False,False,-1.0662170727945752
